Texas A&M,30.6090918,-96.3337124
university of texas at san antonio,29.5827351,-98.6189053
Texas A&M San Antonio,30.6090918,-96.3337124
Texas A&M University,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
Texas A&M,30.6090918,-96.3337124
Higher School of Economics,55.7613455,37.6329448
Tarleton State University,32.21502,-98.2151201
University of Texas at Arlington,32.7291229,-97.11209140000001
Arizona State University,33.4242399,-111.9280527
University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas at San Antonio ,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
TAMS/UNT,33.212472,-97.1512305
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at dallas,32.9857619,-96.7500993
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Utsa,29.5827351,-98.6189053
University of Texas at Dallas,32.9857619,-96.7500993
UTSA,29.5827351,-98.6189053
Texas A&M,30.6090918,-96.3337124
North Carolina State University,35.7846633,-78.6820946
Texas A&M ,30.6090918,-96.3337124
University of Texas as San Antonio,29.5827351,-98.6189053
Texas A&M University,30.6090918,-96.3337124
University of Houston Main Campus,29.7199489,-95.3422334
UT Dallas,32.9857619,-96.7500993
Arizona State University,33.4242399,-111.9280527
University of Texas at San Antonio,29.5827351,-98.6189053
University of Houston-Downtown,29.7665308,-95.3594258
Santa Clara University ,37.3496418,-121.9389875
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA Main Campus,29.5827351,-98.6189053
Texas Tech University,33.5842591,-101.8782822
UTSA,29.5827351,-98.6189053
University of Texas San Antonio,29.5827351,-98.6189053
Virginiatech,37.22838429999999,-80.42341669999999
University of Michigan,42.2780436,-83.7382241
University of Texas at San Antonio,29.5827351,-98.6189053
San Antonio College,29.4457849,-98.4959969
The University of Texas at Austin,30.2849185,-97.7340567
University of California Davis,38.5382322,-121.7617125
The University of Texas at El Paso,31.7709368,-106.5046405
University of North Texas,33.207488,-97.1525862
University of Texas at San Antonio,29.5827351,-98.6189053
Queens College,40.73664369999999,-73.8200894
The university of texas at san antonio,29.5827351,-98.6189053
Texas A& M - San Antonio,30.6090918,-96.3337124
UTSA,29.5827351,-98.6189053
Long SOM,29.50738519999999,-98.576332
North American University,29.6463484,-95.5882852
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UW-Madison,43.076592,-89.4124875
UTSA,29.5827351,-98.6189053
Texas A&M San Antonio,30.6090918,-96.3337124
Rice University,29.7173941,-95.40183119999999
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at Dallas,32.9857619,-96.7500993
Texas state university ,29.888411,-97.938351
Utsa,29.5827351,-98.6189053
Texas A&M University ,30.6090918,-96.3337124
University Texas of San Antonio,29.5827351,-98.6189053
Trinity University,29.4618396,-98.48331209999999
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
university of texas at san antonio ,29.5827351,-98.6189053
University of California-Davis,38.5382322,-121.7617125
Utrgv,26.3074672,-98.174185
UTSA,29.5827351,-98.6189053
The University of Texas at Dallas,32.9857619,-96.7500993
University of Texas at Austin,30.2849185,-97.7340567
University of Texas at San Antonio,29.5827351,-98.6189053
University of Windsor,42.3043142,-83.06603899999999
North American University,29.6463484,-95.5882852
school,37.037666,-95.635678
Utsa,29.5827351,-98.6189053
The University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at Austin,30.2849185,-97.7340567
Rice University,29.7173941,-95.40183119999999
Trinity University,29.4618396,-98.48331209999999
Lakeview College,29.5457967,-98.32311419999999
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
The University of Oklahoma,35.2058936,-97.4457137
The University of Texas at Dallas,32.9857619,-96.7500993
Texas A&M University-San Antonio,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Saint Edward's University,30.2302806,-97.7538139
Texas A&M University - San Antonio,30.6090918,-96.3337124
utsa,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
The University of Texas at Austin,30.2849185,-97.7340567
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
 UTSA,29.5827351,-98.6189053
University of Houston,29.7199489,-95.3422334
Texas A&M University,30.6090918,-96.3337124
University of Texas at San Antonio,29.5827351,-98.6189053
Ural Federal University,56.8403246,60.6160252
University of Texas at Austin,30.2849185,-97.7340567
University of California Davis,38.5382322,-121.7617125
Trinity University,29.4618396,-98.48331209999999
Tarrant County College,32.7474661,-97.3278753
University of Texas -  at San Antonio,29.5827351,-98.6189053
Houston community college,29.6241798,-95.5537708
North American University,29.6463484,-95.5882852
The University of Texas at Dallas,32.9857619,-96.7500993
Texas A&M University at San Antonio,30.6090918,-96.3337124
University of Houston - Downtown,29.7665308,-95.3594258
UTSA,29.5827351,-98.6189053
The University of Texas at San Antonio,29.5827351,-98.6189053
San Antonio College,29.4457849,-98.4959969
Texas State Technical College Williamson County,30.55409629999999,-97.57367839999999
UTHSCSA Long School of Medicine,29.50738519999999,-98.576332
Texas A&M,30.6090918,-96.3337124
North American University,29.6463484,-95.5882852
Lamar University,30.03990529999999,-94.0755748
Maharaja Agrasen Institute of Technology ,28.719704,77.066091
University of California Davis,38.5382322,-121.7617125
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Trinity University,29.4618396,-98.48331209999999
University of Texas at San Antonio,29.5827351,-98.6189053
Western University,43.0095971,-81.2737336
The University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Drexel University,39.9566127,-75.18994409999999
North American University ,29.6463484,-95.5882852
Virginia Tech,37.22838429999999,-80.42341669999999
UTSA,29.5827351,-98.6189053
University of Texas San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio ,29.5827351,-98.6189053
Northwest Vista College ,29.4716439,-98.705443
UTSA,29.5827351,-98.6189053
University of North Texas,33.207488,-97.1525862
UTSA,29.5827351,-98.6189053
